App,Package,Start Time,Duration,Filename
"System",,"May 4, 2014 @ 12:58:19 AM","2 min 35 sec",""

Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Battery Power [uW]",Time  [ms],"Application State",Description,
0,0,1,1272216,4,0,1,0,,
63,1,104,1275924,107,0,104,0,,
102,1,205,1276172,209,0,206,0,,
203,1,308,1275564,311,0,308,0,,
303,1,404,1272752,407,0,405,0,,
404,1,505,1272752,508,0,505,0,,
504,1,605,1272752,609,0,606,0,,
604,1,706,1272752,710,0,706,0,,
705,1,807,1272784,811,0,807,0,,
805,1,907,1272784,911,0,908,0,,
906,1,1008,1272784,1012,0,1008,0,,
1006,1,1108,1272784,1112,0,1108,0,,
1107,1,1209,1272784,1213,0,1209,0,,
1207,1,1309,1272908,1313,0,1310,0,,
1309,1,1410,1272908,1414,0,1411,0,,
1409,1,1511,1272908,1513,0,1511,0,,
1509,1,1611,1272908,1614,0,1611,0,,
1610,1,1711,1272908,1715,0,1712,0,,
1710,1,1812,1272908,1814,0,1812,0,,
1811,1,1912,1272908,1915,0,1912,0,,
1911,1,2013,1272908,2017,0,2014,0,,
2012,1,2114,1272908,2118,0,2114,0,,
2112,1,2216,1272908,2221,0,2217,0,,
2213,1,2315,1272908,2318,0,2315,0,,
2313,1,2415,1272908,2419,0,2416,0,,
2414,1,2516,1272908,2520,0,2516,0,,
2514,1,2616,1272908,2620,0,2616,0,,
2615,1,2717,1272908,2720,0,2717,0,,
2715,1,2817,1272908,2821,0,2817,0,,
2815,1,2918,1272908,2922,0,2918,0,,
2916,1,3017,1273164,3023,0,3018,0,,
2969,0,3118,1273288,3121,0,3118,0,,
3017,0,3221,1273784,3224,0,3221,0,,
3117,0,3318,1273940,3322,0,3319,0,,
3217,0,3419,1274312,3423,1469000,3419,0,,
3318,0,3519,1274408,3523,1469000,3520,0,,
3418,0,3620,1273096,3625,1469000,3621,0,,
3518,0,3720,1266132,3724,1469000,3721,0,,
3620,0,3821,1266132,3825,1469000,3821,0,,
